Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.9239466190338135,9999999999.48145,-0.5216849267210544,99498743710.71411,-0.5349042703918744,-0.5126242527314318,-0.5836735039289054,1000000000000.0,7.52,8.0,1.808203528367313,6.0,9.0,3.0,10.0,-0.5459142977542867 -0.5625707712107623 -0.5836735039289054,3.0 4.0 6.0,-0.5158511684709167 -0.5283193126658859 -0.5353761531808345
2,1.7205908298492432,-0.5287730038413274,-0.5291322594105434,0.022093582135653378,-0.5439467848220829,-0.5145969389792814,-0.5868009830275026,-0.4799286342082785,5.74,6.0,1.972916622668074,4.75,7.0,1.0,10.0,-0.5233852909482355 -0.5369217284548512 -0.5731469742618721 -0.5836735039289054 -0.5868009830275026,1.0 2.0 3.0 6.0 7.0,-0.5589124841890207 -0.5662836677477007 -0.5771528581925135 -0.5353761531808345 -0.5052154791103741
3,1.6272928714752197,19999999999.474552,-0.5343826642760827,140000000000.07507,-0.5505759110086333,-0.521634838330665,-0.5868009830275026,1000000000000.0,4.87,5.0,1.9527160571880389,3.0,6.0,2.0,10.0,-0.5233852909482355 -0.5579121576724335 -0.5731469742618721 -0.5775566212150246 -0.5836735039289054 -0.5868009830275026,1.0 2.0 3.0 5.0 6.0 7.0,-0.5589124841890207 -0.5123758419098529 -0.5771528581925135 -0.5112491243826613 -0.5353761531808345 -0.5052154791103741
4,1.6384751796722412,-0.5344988443977506,-0.5355976079188136,0.024162292417279806,-0.5486868076554015,-0.5177078035876361,-0.5874313633484217,-0.47988450149517875,4.22,4.0,1.9574473172987312,3.0,6.0,1.0,10.0,-0.543121324421122 -0.5874313633484217,1.0 2.0,-0.5194537780071365 -0.5689602497954457
5,1.5718839168548584,9999999999.468674,-0.5297746435055016,99498743710.7154,-0.558185473222134,-0.514969639332894,-0.622476356099655,1000000000000.0,3.95,3.0,2.183460556089805,2.0,5.0,1.0,10.0,-0.543121324421122 -0.5874313633484217 -0.622476356099655,1.0 2.0 3.0,-0.5194537780071365 -0.5689602497954457 -0.5915174531009413
6,1.5085139274597168,19999999999.468925,-0.5327591179417708,140000000000.07587,-0.5737374701207046,-0.5226410046190726,-0.6410964944150551,1000000000000.0,3.45,3.0,2.0898564544006364,2.0,5.0,1.0,9.0,-0.6410964944150551,1.0,-0.6218190977880618
7,1.4754223823547363,-0.538233345204553,-0.5233852909482355,0.03244595353112219,-0.5661919531122134,-0.5186866327749855,-0.622476356099655,-0.47351387753729446,2.77,2.0,1.8913222887704781,1.0,4.0,1.0,9.0,-0.6410964944150551,1.0,-0.6218190977880618
8,1.515357494354248,-0.5341466861228216,-0.5233852909482355,0.03433238508983185,-0.543121324421122,-0.5154746588572621,-0.6275837393696219,-0.46460663956093545,2.27,2.0,1.2794920867281674,1.0,3.0,1.0,6.0,-0.6410964944150551,1.0,-0.6218190977880618
9,1.4374120235443115,-0.5419572142323913,-0.5233852909482355,0.03796881569983656,-0.5482377031696094,-0.5197049388237187,-0.6410964944150551,-0.47801734650196426,2.18,2.0,1.26,1.0,3.0,1.0,7.0,-0.6410964944150551,1.0,-0.6218190977880618
10,1.4469170570373535,-0.5326706934022862,-0.5233852909482355,0.04326786775911545,-0.543121324421122,-0.5131933416866596,-0.6410964944150551,-0.36762081289222853,1.86,1.0,1.122675376054895,1.0,3.0,1.0,6.0,-0.6410964944150551,1.0,-0.6218190977880618
11,1.4151043891906738,9999999999.461395,-0.5350336095303763,99498743710.71613,-0.5438791403489472,-0.5193573040889127,-0.6410964944150551,1000000000000.0,2.13,1.0,1.4328642643321106,1.0,3.0,1.0,7.0,-0.6410964944150551 -0.6410964944150551,1.0 1.0,-0.6218190977880618 -0.6218190977880618
12,1.4455454349517822,-0.552043569760542,-0.5361425423808706,0.04338977798677234,-0.6011442892794331,-0.5229873454629559,-0.6410964944150551,-0.4716184746327405,1.98,2.0,1.26475294030099,1.0,3.0,1.0,6.0,-0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551,1.0 1.0 1.0 1.0 1.0 1.0,-0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618
13,1.4544615745544434,-0.5636780607098032,-0.5459302286705972,0.04682184582335476,-0.6105326454030214,-0.524930293509489,-0.660302171827486,-0.47487135318057766,2.11,2.0,1.2156891049935423,1.0,3.0,1.0,5.0,-0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.660302171827486,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0,-0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6111595216379236
14,1.497065544128418,-0.5828478853009214,-0.6105326454030214,0.05383765240238947,-0.6344036413619558,-0.530073643641348,-0.660302171827486,-0.43354924007776496,1.74,1.0,1.0827742146911332,1.0,2.0,1.0,5.0,-0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.6410964944150551 -0.660302171827486 -0.660302171827486,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0,-0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6218190977880618 -0.6111595216379236 -0.6111595216379236
15,1.4512743949890137,-0.5830683985621008,-0.6105326454030214,0.05569725094881135,-0.6410964944150551,-0.5252737417251159,-0.660302171827486,-0.4761321846699971,1.92,1.0,1.2936769303036983,1.0,2.0,1.0,7.0,-0.6424778752693657 -0.660302171827486 -0.660302171827486 -0.660302171827486,1.0 2.0 2.0 2.0,-0.622978186573424 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236
16,1.413440465927124,-0.5925251767094951,-0.632172690344256,0.06501793336777772,-0.6410964944150551,-0.5263947278122862,-0.660302171827486,-0.3589035055849443,1.8,1.0,1.2083045973594573,1.0,2.0,1.0,6.0,-0.6424778752693657 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486,1.0 2.0 2.0 2.0 2.0 2.0,-0.622978186573424 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236
17,1.4428095817565918,-0.582133052587002,-0.6269989264165514,0.06735884837848374,-0.6410964944150551,-0.5153929636948025,-0.660302171827486,-0.3936860842368321,2.21,2.0,1.3586390249069102,1.0,3.0,1.0,7.0,-0.6424778752693657 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486,1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.622978186573424 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236
18,1.4039263725280762,9999999999.41624,-0.6410964944150551,99498743710.72067,-0.6436194928258304,-0.5166595839340685,-0.660302171827486,1000000000000.0,2.39,2.0,1.3556917053666737,1.0,3.0,1.0,7.0,-0.6424778752693657 -0.6424778752693657 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486 -0.660302171827486,1.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.622978186573424 -0.622978186573424 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236 -0.6111595216379236
