Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.5138061046600342,9999999999.484028,-0.5232074905721094,99498743710.71385,-0.5355261892161925,-0.5058946180307,-0.5802662578736507,1000000000000.0,8.65,8.0,2.5937424698685874,7.0,10.25,2.0,14.0,-0.5605024784733023 -0.5963685993852889,2.0 7.0,-0.4759226678475428 -0.47543764571602265
2,1.3733673095703125,-0.5348665776972261,-0.5383019503215201,0.02611575173207366,-0.5483434787473893,-0.5196445335454593,-0.6016110881123751,-0.4762691899796278,7.39,7.0,3.146092814905498,5.0,10.0,2.0,13.0,-0.5605024784733023 -0.5605024784733023 -0.5605024784733023 -0.5963685993852889 -0.6016110881123751,2.0 2.0 2.0 7.0 13.0,-0.4759226678475428 -0.4759226678475428 -0.4759226678475428 -0.47543764571602265 -0.5160779880950469
3,1.351560115814209,9999999999.46927,-0.5393916258675273,99498743710.71533,-0.5501454588906857,-0.520690737645386,-0.6016110881123751,1000000000000.0,6.48,6.0,3.1384072393492852,4.0,8.0,2.0,13.0,-0.5605024784733023 -0.5605024784733023 -0.5605024784733023 -0.5972736549325023 -0.6016110881123751,2.0 2.0 2.0 3.0 13.0,-0.4759226678475428 -0.4759226678475428 -0.4759226678475428 -0.538086420119458 -0.5160779880950469
4,1.3704102039337158,-0.5403990775950485,-0.537797711522471,0.02807283959525525,-0.5578220419533132,-0.5259332347597077,-0.6058589081857654,-0.44741360403054853,5.77,5.0,3.029372872394549,3.0,8.0,1.0,13.0,-0.5014882769232605 -0.5605024784733023 -0.5605024784733023 -0.5605024784733023 -0.5605024784733023 -0.5605024784733023 -0.5605024784733023 -0.5605024784733023 -0.6058589081857654,1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 3.0,-0.4828282887953677 -0.4759226678475428 -0.4759226678475428 -0.4759226678475428 -0.4759226678475428 -0.4759226678475428 -0.4759226678475428 -0.4759226678475428 -0.6275538364229382
5,1.2424678802490234,-0.5520474257381243,-0.5449379985995959,0.03695712426379303,-0.5659549371413795,-0.5280596829881927,-0.7326344901795195,-0.47697867676718153,4.91,3.0,3.5947044384761315,2.0,7.0,1.0,13.0,-0.5014882769232605 -0.5014882769232605 -0.7326344901795195,1.0 1.0 2.0,-0.4828282887953677 -0.4828282887953677 -0.7259236006615273
6,1.2115049362182617,-0.5475217682447129,-0.5452610275922191,0.030480760965277357,-0.5605024784733023,-0.5252748434313319,-0.6058589081857654,-0.47455839663722094,4.25,3.0,3.207413287993925,2.0,5.0,2.0,13.0,-0.5014882769232605 -0.5014882769232605 -0.7326344901795195,1.0 1.0 2.0,-0.4828282887953677 -0.4828282887953677 -0.7259236006615273
7,1.268878698348999,-0.5536185099470664,-0.5605024784733023,0.041037886061413245,-0.5690010531306262,-0.521259636410211,-0.7333778571926708,-0.4840712127679541,4.42,3.0,3.6004999652825993,2.0,5.25,1.0,13.0,-0.5165033737465833 -0.7333778571926708,1.0 2.0,-0.5441711121510564 -0.7286038503621535
8,1.1844158172607422,-0.5676186574189418,-0.5605024784733023,0.05606028557144074,-0.6038611991619477,-0.5240106114078141,-0.7333778571926708,-0.42620166381578833,3.59,2.0,3.2652564983474113,2.0,4.0,1.0,13.0,-0.5785050499802182 -0.7333778571926708,1.0 2.0,-0.5197473858875377 -0.7286038503621535
9,1.2454807758331299,-0.5774044142662039,-0.5601691989488768,0.0761824861794377,-0.6330456971115148,-0.5129585859739954,-0.7332077005768771,-0.477005804082464,3.4,3.0,2.4738633753705965,2.0,4.0,1.0,13.0,-0.6338328393305093 -0.7333778571926708,1.0 2.0,-0.6055324794520203 -0.7286038503621535
10,1.2098395824432373,-0.5813692677888326,-0.549373882861623,0.08275866544650812,-0.6426926673020186,-0.5143825745963357,-0.7333778571926708,-0.45801345060626303,2.53,2.0,1.4103545653487282,1.0,3.0,1.0,7.0,-0.6338328393305093 -0.6338328393305093 -0.7333778571926708,1.0 1.0 2.0,-0.6055324794520203 -0.6055324794520203 -0.7286038503621535
