Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.6119585037231445,9999999999.479153,-0.5252036453024265,99498743710.71434,-0.5407589079429292,-0.5126320462828479,-0.5744453369122099,1000000000000.0,9.01,9.0,2.86180013278356,7.0,11.0,3.0,14.0,-0.534716999442989 -0.5744453369122099 -0.581678228604004,3.0 4.0 12.0,-0.46711375945674405 -0.5020650058110232 -0.5092895200304272
2,1.4604310989379883,-0.5440787882333804,-0.5472333156808937,0.025529284011461026,-0.5621312394179683,-0.5301021608156843,-0.5991109597429769,-0.4659221407344116,7.99,8.0,3.2388115104155104,5.0,11.0,1.0,14.0,-0.5252516978500783 -0.5958827503896422 -0.5991109597429769,1.0 2.0 8.0,-0.48792778388414754 -0.49833137657335835 -0.48094844390779173
3,1.4375576972961426,-0.5532474953554419,-0.5572441949312867,0.025592153258020812,-0.5689875061930914,-0.5358567002017677,-0.6117727515036636,-0.48735941596906873,6.4,6.0,3.1937438845342623,4.0,8.25,1.0,14.0,-0.5460601643391041 -0.5958827503896422 -0.5958827503896422 -0.6117727515036636,1.0 2.0 2.0 3.0,-0.4813524810289509 -0.49833137657335835 -0.49833137657335835 -0.6546191710359189
4,1.2972922325134277,-0.5578659198144735,-0.550431552932892,0.04145943624845171,-0.5808130926597673,-0.5334487904288094,-0.7299371401473301,-0.485485211780717,5.18,5.0,3.0606535249844926,3.0,7.0,1.0,14.0,-0.7299371401473301,1.0,-0.7130922548251184
5,1.243837833404541,-0.5653137021823279,-0.5530402002461652,0.054124744827519645,-0.5856489206566806,-0.5272954665140248,-0.7299371401473301,-0.4636302120839672,3.83,3.0,2.4126955879265,2.0,5.0,1.0,11.0,-0.7299371401473301 -0.7299371401473301 -0.7299371401473301 -0.7299371401473301,1.0 1.0 1.0 1.0,-0.7130922548251184 -0.7130922548251184 -0.7130922548251184 -0.7130922548251184
6,1.2021679878234863,-0.5805927965583293,-0.568869380444583,0.06379726464483236,-0.5958827503896422,-0.5383178474847695,-0.7299371401473301,-0.4710195409144979,2.9,2.0,2.1330729007701543,1.0,4.0,1.0,11.0,-0.7299371401473301 -0.7299371401473301 -0.7299371401473301 -0.7299371401473301 -0.7299371401473301 -0.7299371401473301,1.0 1.0 1.0 1.0 1.0 1.0,-0.7130922548251184 -0.7130922548251184 -0.7130922548251184 -0.7130922548251184 -0.7130922548251184 -0.7130922548251184
7,1.2062442302703857,9999999999.414682,-0.5848103935400993,99498743710.72083,-0.6163616796326249,-0.5459556880878254,-0.7299477317729394,1000000000000.0,2.56,2.0,1.7453939383417143,1.0,4.0,1.0,10.0,-0.7299477317729394,1.0,-0.7147657101295738
8,1.2070024013519287,-0.5949934687075263,-0.5722694476996326,0.077931576986988,-0.6588296994589294,-0.5364072564182256,-0.7459802353379115,-0.47632664823795995,2.7,2.0,1.6093476939431082,1.0,4.0,1.0,7.0,-0.7299477317729394 -0.7459802353379115,1.0 2.0,-0.7147657101295738 -0.7281716916237135
9,1.1350157260894775,-0.5965411919338659,-0.5671060970434778,0.08417686692999264,-0.6893363314445813,-0.5361090865308217,-0.7299477317729394,-0.43100584990968505,2.42,2.0,1.6442627527253666,1.0,3.0,1.0,7.0,-0.7299477317729394 -0.7299477317729394 -0.7299477317729394 -0.7299477317729394 -0.7459802353379115,1.0 1.0 1.0 1.0 2.0,-0.7147657101295738 -0.7147657101295738 -0.7147657101295738 -0.7135506248913287 -0.7281716916237135
10,1.1295528411865234,-0.6267632427941338,-0.5848103935400993,0.09490295433532023,-0.7299371401473301,-0.5517808875377955,-0.7459802353379115,-0.3740765209508094,2.34,1.5,1.7844887222955488,1.0,4.0,1.0,8.0,-0.7299477317729394 -0.7299477317729394 -0.7299477317729394 -0.7299477317729394 -0.7299477317729394 -0.7459802353379115,1.0 1.0 1.0 1.0 1.0 2.0,-0.7147657101295738 -0.7147657101295738 -0.7147657101295738 -0.7135506248913287 -0.7138896569152092 -0.7281716916237135
11,1.154423475265503,-0.6577437474368804,-0.7222352447190963,0.08327299904544065,-0.7299371401473301,-0.5821241205441245,-0.7459802353379115,-0.479891079024007,1.89,1.0,1.4063783274780652,1.0,3.0,1.0,7.0,-0.7304425234315818 -0.7459802353379115,1.0 2.0,-0.7136122736834376 -0.7281716916237135
