DistinctRawFeatures,Alpha,TrainError,TestError,TrainTime,TrainEvalTime,TestEvalTime
1,0.2811703667143739,-0.7167813497857307,-0.6613366286524504,0.010778427124023438,0.0012967586517333984,0.0011856555938720703
2,0.1498636390296397,-0.7253004017474255,-0.660373034384275,0.010778427124023438,0.0011775493621826172,0.0011639595031738281
3,0.1234844267507779,-0.7227273298466126,-0.638447403456731,0.010778427124023438,0.0012485980987548828,0.0011970996856689453
4,0.07351686258003845,-0.7432630658393927,-0.644565505372309,0.010778427124023438,0.0012705326080322266,0.0012106895446777344
5,0.05263102397217336,-0.7425958388425778,-0.6393962177131045,0.010778427124023438,0.0012545585632324219,0.0012476444244384766
6,0.05250985494650554,-0.7425958388425778,-0.6393962177131045,0.010778427124023438,0.0012769699096679688,0.0012369155883789062
