DistinctRawFeatures,Alpha,TrainError,TestError,TrainTime,TrainEvalTime,TestEvalTime
1,0.220520765955256,-0.7082199004095149,-0.7650290357771238,0.03009939193725586,0.0012900829315185547,0.0011992454528808594
2,0.1416632823091968,-0.7104749081398911,-0.7682291536914706,0.03009939193725586,0.0012650489807128906,0.0012137889862060547
3,0.12479645390702088,-0.7137588324861972,-0.7725977889749602,0.03009939193725586,0.0012884140014648438,0.0012340545654296875
4,0.10693876837323388,-0.7252519763452993,-0.783219955877332,0.03009939193725586,0.0012280941009521484,0.0012140274047851562
5,0.0726050802534571,-0.7455805671123011,-0.7945296142115744,0.03009939193725586,0.0012745857238769531,0.0012314319610595703
6,0.044540470215945156,-0.7495915762202212,-0.7970356579252544,0.03009939193725586,0.0012955665588378906,0.0012516975402832031
