Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.0171988010406494,9999999999.466246,-0.5366395917345599,99498743710.71564,-0.5585848057429281,-0.5156146764205668,-0.6256461555335324,1000000000000.0,6.79,7.0,1.7452506983238827,6.0,8.0,2.0,9.0,-0.5605388260653177 -0.5677308546212715 -0.5895151890330748 -0.6256461555335324,2.0 4.0 5.0 8.0,-0.5287280008807728 -0.5775149258291711 -0.5837573776518782 -0.5195721926158845
2,0.9862139225006104,-0.5531066531753572,-0.552593059791503,0.031021501349524395,-0.5750652007673669,-0.5341744746846696,-0.6256461555335324,-0.4734295160836966,5.87,6.0,2.0428166829160173,4.0,8.0,2.0,9.0,-0.6116223363827146 -0.6256461555335324,2.0 8.0,-0.3880043757360164 -0.5195721926158845
3,1.0572304725646973,-0.5616563268489925,-0.5607067742417302,0.03236377238597816,-0.5912596575389056,-0.5345855518736481,-0.6299715543482042,-0.49412683147081016,5.75,6.0,2.1788758569500923,4.0,8.0,1.0,9.0,-0.5323947759092048 -0.6116223363827146 -0.6124455761757464 -0.6176741978661636 -0.6299715543482042,1.0 2.0 5.0 6.0 8.0,-0.5555499003605284 -0.3880043757360164 -0.4266332301224925 -0.5331661495262425 -0.5170745563802441
4,0.9215595722198486,-0.5588425628157389,-0.5556053786448394,0.03802394461007052,-0.5947239543259115,-0.5303950312408067,-0.6299715543482042,-0.48834200673940265,4.87,5.0,2.3006738143422245,3.0,6.25,1.0,9.0,-0.5506271705050856 -0.6116223363827146 -0.6116223363827146 -0.6124455761757464 -0.6176741978661636 -0.6299715543482042 -0.6299715543482042,1.0 2.0 2.0 5.0 6.0 8.0 8.0,-0.5873078105488861 -0.3880043757360164 -0.3880043757360164 -0.4266332301224925 -0.5331661495262425 -0.5170745563802441 -0.5170745563802441
5,0.9013087749481201,-0.5542052688345839,-0.5506271705050856,0.03470784275080126,-0.5715329223990587,-0.5323947759092048,-0.6297462224121436,-0.4533789506407662,4.43,4.0,2.5426560915703877,2.0,6.0,1.0,9.0,-0.5506271705050856 -0.5506271705050856 -0.5506271705050856 -0.5506271705050856 -0.6116223363827146 -0.6116223363827146 -0.6116223363827146 -0.6124455761757464 -0.6176741978661636 -0.6299715543482042 -0.6299715543482042,1.0 1.0 1.0 1.0 2.0 2.0 2.0 5.0 6.0 8.0 8.0,-0.5873078105488861 -0.5873078105488861 -0.5873078105488861 -0.5873078105488861 -0.3880043757360164 -0.3880043757360164 -0.3880043757360164 -0.4266332301224925 -0.5331661495262425 -0.5170745563802441 -0.5170745563802441
6,0.9709162712097168,-0.5607377706170511,-0.5587839650703477,0.038949991238145264,-0.5937037928872099,-0.532391081008818,-0.6299715543482042,-0.4777395688727317,4.27,4.0,2.5173597279689686,2.0,6.0,1.0,9.0,-0.5663491002886298 -0.5663491002886298 -0.6116223363827146 -0.6116223363827146 -0.6116223363827146 -0.6124455761757464 -0.6124455761757464 -0.6176741978661636 -0.6299715543482042 -0.6299715543482042 -0.6299715543482042 -0.6299715543482042,1.0 1.0 2.0 2.0 2.0 5.0 5.0 6.0 8.0 8.0 8.0 8.0,-0.5946217216249227 -0.5946217216249227 -0.3880043757360164 -0.3880043757360164 -0.3880043757360164 -0.4266332301224925 -0.4266332301224925 -0.5331661495262425 -0.5170745563802441 -0.5170745563802441 -0.5170745563802441 -0.5170745563802441
7,0.9276926517486572,-0.5752557947156639,-0.5673772840712099,0.0371298724904192,-0.611047807863301,-0.5478019130844819,-0.63103103868854,-0.4852356130355901,4.52,4.0,2.570914234275426,2.0,7.0,1.0,9.0,-0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.614305135388607 -0.6176741978661636 -0.6176774447632584 -0.63103103868854,1.0 1.0 1.0 1.0 2.0 6.0 7.0 8.0,-0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.394015391637281 -0.5331661495262425 -0.4438077420047935 -0.49053436310407733
8,1.0941085815429688,-0.5774470995867679,-0.5709306455160243,0.03724277179362887,-0.6125971177947085,-0.5469599468279721,-0.6436786668826152,-0.5015801611606434,5.03,6.0,2.670037452920839,2.0,7.0,1.0,9.0,-0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.614305135388607 -0.6219632839373122 -0.6281975977984416 -0.6436786668826152,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 5.0 7.0 8.0,-0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.394015391637281 -0.4088339192395117 -0.43165733934912004 -0.5161797013075905
9,0.950507640838623,-0.5800809787306306,-0.5779083412436969,0.03660407518912062,-0.6125659066699849,-0.5506271705050856,-0.6544596829763336,-0.4965239953631407,4.39,4.0,2.59959612247749,2.0,7.0,1.0,9.0,-0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.614305135388607 -0.6544596829763336,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 4.0,-0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.394015391637281 -0.44010406256920803
10,0.8683693408966064,-0.5672308299011779,-0.5663491002886298,0.034998900633412364,-0.5895272882936339,-0.5506271705050856,-0.6544596829763336,-0.48487494092536226,3.14,2.0,2.271651381704508,1.0,5.0,1.0,9.0,-0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.5663491002886298 -0.614305135388607 -0.6544596829763336 -0.6544596829763336,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 4.0 4.0,-0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.5946217216249227 -0.394015391637281 -0.44010406256920803 -0.44010406256920803
