DistinctRawFeatures,Alpha,TrainError,TestError,TrainTime,TrainEvalTime,TestEvalTime
1,0.14805119352700633,-0.6414234380429961,-0.630100094764936,0.03639411926269531,0.0013031959533691406,0.0012586116790771484
2,0.06166397720899195,-0.6567452502772281,-0.6398991921260391,0.03639411926269531,0.001268148422241211,0.001249551773071289
3,0.04053678954992245,-0.6610464794688922,-0.658512496199336,0.03639411926269531,0.0012810230255126953,0.0012333393096923828
4,0.03441741743196086,-0.6676814417880077,-0.663026736595859,0.03639411926269531,0.001294851303100586,0.001338958740234375
5,0.02849024586477191,-0.675377083241795,-0.661452645661259,0.03639411926269531,0.0013453960418701172,0.0017218589782714844
6,0.025506340266264027,-0.6775984095795973,-0.6585770847676,0.03639411926269531,0.0012946128845214844,0.0013003349304199219
