Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.8891115188598633,29999999999.495644,-0.518372704281884,170587221092.4085,-0.5308710093113526,-0.5055045652919871,-0.5631497051306573,1000000000000.0,7.11,7.0,1.8379064176393747,6.0,8.0,2.0,10.0,-0.5375760963267667 -0.5501259434514505 -0.5569894983209137 -0.5703999610159597,2.0 3.0 5.0 6.0,-0.5432359318917171 -0.4871488619324302 -0.4827942996140039 -0.484892354117795
2,1.7453384399414062,-0.5325078630309309,-0.5364403679170884,0.018033497767085196,-0.5476239330136086,-0.5169972355405383,-0.5703999610159597,-0.4940070618521371,5.75,6.0,2.0463381929681126,4.0,8.0,2.0,10.0,-0.5375760963267667 -0.5375760963267667 -0.5501259434514505 -0.5501259434514505 -0.5569894983209137 -0.5703999610159597,2.0 2.0 3.0 3.0 5.0 6.0,-0.5432359318917171 -0.5432359318917171 -0.4871488619324302 -0.4871488619324302 -0.4827942996140039 -0.484892354117795
3,1.6661717891693115,9999999999.47153,-0.5367354286454042,99498743710.7151,-0.5501259434514505,-0.5187356969757511,-0.5739979088519631,1000000000000.0,5.3,5.0,2.360084744241189,3.0,7.0,1.0,10.0,-0.5638233199336905 -0.5718237802283207 -0.5739979088519631,1.0 2.0 8.0,-0.4721681947104745 -0.536186447177568 -0.48752297001809797
4,1.7022526264190674,-0.5338700587991452,-0.5324548454533838,0.022321703995295882,-0.5544410765459382,-0.5170789087763761,-0.5739979088519631,-0.4873480983537893,5.01,5.0,2.6551647783141443,3.0,7.25,1.0,10.0,-0.5638233199336905 -0.5638233199336905 -0.5718237802283207 -0.5739979088519631,1.0 1.0 2.0 8.0,-0.4721681947104745 -0.4721681947104745 -0.536186447177568 -0.48752297001809797
5,1.6071488857269287,9999999999.465271,-0.5411088974120108,99498743710.71574,-0.561351979996094,-0.521887425725813,-0.5861061566857505,1000000000000.0,4.26,3.5,2.4763683086326234,2.0,6.0,1.0,10.0,-0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5861061566857505,1.0 1.0 1.0 1.0 2.0,-0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.5219129662215017
6,1.6659655570983887,-0.5402971612275826,-0.5367694447355786,0.025612642981718798,-0.5638233199336905,-0.5239241201262346,-0.6157775319412709,-0.48247120670827615,4.15,3.0,2.725344014982329,2.0,6.0,1.0,10.0,-0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5861061566857505 -0.5861061566857505 -0.6157775319412709,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0,-0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.5219129662215017 -0.5219129662215017 -0.6472384928611811
7,1.635202407836914,-0.5452443232398737,-0.5476040786049823,0.031753144355227046,-0.5708717284125571,-0.5191720320039808,-0.6279169877812849,-0.48149135048691016,3.03,2.0,2.1422184762530643,1.0,4.0,1.0,10.0,-0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.6279169877812849,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 3.0,-0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.6638335051044958
8,1.4307568073272705,19999999999.468994,-0.5287121423641689,140000000000.07587,-0.5638233199336905,-0.5196713028264597,-0.6280634204641836,1000000000000.0,2.51,2.0,1.584266391740985,1.0,3.0,1.0,8.0,-0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.6280634204641836,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 3.0,-0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.6638335051044958
9,1.4006083011627197,-0.5423386526263411,-0.5396420302819103,0.03398232736620645,-0.5638233199336905,-0.5200261194858431,-0.6280634204641836,-0.47262375850211147,2.18,2.0,1.2757742747053649,1.0,3.0,1.0,6.0,-0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.6280634204641836 -0.6280634204641836,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 3.0 3.0,-0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.6638335051044958 -0.6638335051044958
10,1.435023307800293,9999999999.4617,-0.5444626268503943,99498743710.7161,-0.5638233199336905,-0.5171560222082929,-0.629931426100599,1000000000000.0,2.31,2.0,1.3689046716261875,1.0,3.0,1.0,7.0,-0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5638233199336905 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.5861061566857505 -0.629931426100599,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 3.0,-0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.4721681947104745 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.5219129662215017 -0.6666949862358643
