Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.5229716300964355,9999999999.481678,-0.5275702623241616,99498743710.7141,-0.5403949570765769,-0.5068483945561595,-0.5723150819154077,1000000000000.0,8.37,9.0,2.5046157389907138,7.0,10.0,2.0,13.0,-0.47096096391790543 -0.5498219962624451 -0.5675997493635964 -0.5723150819154077,2.0 3.0 5.0 7.0,-0.42628067962885874 -0.530614596216303 -0.4799371730293332 -0.5413598400219994
2,1.429330587387085,-0.5378773011806781,-0.5348855897139636,0.022605846599830948,-0.5554451836556646,-0.5205201678178274,-0.6035278601562591,-0.4941280779686476,6.96,7.0,2.7925615481131296,5.0,9.0,1.0,13.0,-0.6035278601562591,1.0,-0.5746837183562243
3,1.352687120437622,-0.541103627970668,-0.5391692728650681,0.030583384782355064,-0.5598983857512871,-0.5163054989903249,-0.659205911212158,-0.47047754275533016,6.27,6.0,2.6452032058048016,5.0,8.0,1.0,13.0,-0.6393877452897295 -0.659205911212158,1.0 2.0,-0.601271065696684 -0.5850967868336548
4,1.3546366691589355,-0.5404606296525652,-0.5378118747781796,0.037694115662653134,-0.5559243650090149,-0.5206853071373932,-0.6697489845645492,-0.43080263873059044,5.08,5.0,2.7154373496731607,3.0,7.0,1.0,12.0,-0.6393877452897295 -0.6697489845645492,1.0 2.0,-0.601271065696684 -0.6860183353863372
5,1.2938294410705566,-0.558501317653943,-0.5624490619065288,0.038534251561227355,-0.5861446623034121,-0.5296954165814535,-0.6697489845645492,-0.47986003981469133,4.97,4.0,3.1542193963007708,2.0,8.0,1.0,14.0,-0.6398866320967388 -0.6697489845645492,1.0 2.0,-0.5608707735238206 -0.6860183353863372
6,1.2877278327941895,-0.5556576779952213,-0.5424659534129499,0.04217141459107208,-0.5820561515714033,-0.5238758689346894,-0.6735773206931236,-0.48299827482736934,4.79,4.0,3.32654475394515,2.0,7.0,1.0,13.0,-0.6398866320967388 -0.6697489845645492 -0.6735773206931236,1.0 2.0 3.0,-0.5608707735238206 -0.6860183353863372 -0.6854788469535993
7,1.230635643005371,-0.5627393236469621,-0.5532264637117494,0.046475587414051535,-0.5880741939272046,-0.5241060781388837,-0.6735058183309635,-0.48681606101129504,3.12,2.5,2.117923511366735,2.0,4.0,1.0,9.0,-0.6398866320967388 -0.6735058183309635 -0.6735773206931236,1.0 2.0 3.0,-0.5608707735238206 -0.6910966737956522 -0.6854788469535993
8,1.1791317462921143,-0.5769720919498614,-0.5658047071867366,0.058191321175003974,-0.6338275368644217,-0.5245236290628192,-0.6838315650840783,-0.46728111202947525,2.79,2.0,1.8936472744415735,2.0,3.0,1.0,11.0,-0.6398866320967388 -0.6838315650840783,1.0 2.0,-0.5608707735238206 -0.7037925198189401
9,1.1662375926971436,-0.5843655181971452,-0.5658047071867366,0.06340305421955325,-0.656497102730679,-0.5308272241833911,-0.7067750068000453,-0.41543888910695775,2.49,2.0,1.526400995806803,1.0,3.0,1.0,8.0,-0.6398866320967388 -0.7067750068000453,1.0 2.0,-0.5608707735238206 -0.7011260518137011
10,1.3181304931640625,-0.5879465899686542,-0.5658047071867366,0.06403811082694769,-0.6480602061716627,-0.5308796034552852,-0.7109500142125318,-0.4934189433495176,2.2,2.0,1.3114877048604001,1.0,3.0,1.0,7.0,-0.6398866320967388 -0.7109500142125318,1.0 2.0,-0.5608707735238206 -0.7048316247769607
