Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.0473079681396484,19999999999.468513,-0.5429749756305726,140000000000.07593,-0.5623121896569204,-0.5194675239311148,-0.6266508550117823,1000000000000.0,6.81,7.0,1.7360587547660937,5.75,8.0,2.0,9.0,-0.5247643045656678 -0.5848126357433256 -0.5889535366826468 -0.5889535366826468 -0.5934225874936011 -0.6266508550117823,2.0 3.0 5.0 5.0 6.0 8.0,-0.4573236717466104 -0.4550666985713381 -0.481785181311882 -0.481785181311882 -0.505596188304419 -0.533498336237073
2,0.9671149253845215,9999999999.449133,-0.5603902510307633,99498743710.71736,-0.576189848600104,-0.5357789498586667,-0.6402900567559879,1000000000000.0,6.01,6.0,2.0074610830598933,4.75,8.0,1.0,9.0,-0.4863771222892262 -0.5252183517590321 -0.5857893613145275 -0.5889535366826468 -0.5889535366826468 -0.5934225874936011 -0.5934225874936011 -0.6021512619356989 -0.6402900567559879,1.0 2.0 3.0 5.0 5.0 6.0 6.0 7.0 8.0,-0.45407349382283385 -0.5276950267745921 -0.46680397389008177 -0.481785181311882 -0.481785181311882 -0.505596188304419 -0.505596188304419 -0.5756598338803772 -0.5840033306382159
3,1.0174384117126465,-0.5652753001040313,-0.5721069439500712,0.03407797144958973,-0.5866911336406124,-0.5466806599951151,-0.656374495550552,-0.47367274550824606,5.64,6.0,2.1611108254784157,4.0,7.0,1.0,9.0,-0.5727129865946711 -0.656374495550552,1.0 3.0,-0.5607294008524368 -0.6064613447863918
4,0.9093236923217773,-0.5564561281475513,-0.5596325326795419,0.0417918148329144,-0.5873376202504219,-0.5239170440940426,-0.6416483962843746,-0.4824712096767306,5.1,5.0,2.563201123595259,3.0,7.25,1.0,9.0,-0.5727129865946711 -0.5727129865946711 -0.5746956743820476 -0.656374495550552,1.0 1.0 2.0 3.0,-0.5607294008524368 -0.5607294008524368 -0.5116008234123086 -0.6064613447863918
5,0.8970274925231934,-0.5580777435910044,-0.5624356691933405,0.04806502150961097,-0.5899869959927897,-0.5303712346938746,-0.656374495550552,-0.31674522036526426,4.47,5.0,2.3851834311012645,2.0,7.0,1.0,8.0,-0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5746956743820476 -0.656374495550552 -0.656374495550552,1.0 1.0 1.0 2.0 3.0 3.0,-0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5116008234123086 -0.6064613447863918 -0.6064613447863918
6,0.9115772247314453,-0.5567769999837888,-0.5631444964566295,0.04454091791163501,-0.5850989709538298,-0.5243218848119817,-0.6669178762214022,-0.4739433469062255,4.17,4.0,2.498219365868418,2.0,7.0,1.0,9.0,-0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5746956743820476 -0.6669178762214022,1.0 1.0 1.0 1.0 1.0 1.0 2.0 3.0,-0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5116008234123086 -0.615413962463772
7,0.8380672931671143,-0.5567952105423015,-0.564181278784675,0.04652755311916025,-0.5842087661727733,-0.5311266111146525,-0.6691723070366145,-0.4220525076237443,3.44,3.0,2.2240503591420766,1.0,5.0,1.0,9.0,-0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5872976836028799 -0.6691723070366145,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 3.0,-0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5420683941972346 -0.6169211834954518
8,0.75482177734375,-0.5523154151175518,-0.5623863445770916,0.04334578826246861,-0.5727129865946711,-0.5150109416879546,-0.6691723070366145,-0.4863771222892262,2.7,2.0,1.7804493814764855,1.0,4.0,1.0,9.0,-0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5925220175842684 -0.6691723070366145,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 3.0,-0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.6039629793299326 -0.6169211834954518
9,0.7536036968231201,-0.5539340601552944,-0.564181278784675,0.042174220131802984,-0.5727129865946711,-0.5257027016204993,-0.7127429942960832,-0.45497149621025335,2.18,1.0,1.633278910657944,1.0,3.0,1.0,9.0,-0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5925220175842684 -0.7127429942960832,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 3.0,-0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.6039629793299326 -0.638626418803196
10,0.7361197471618652,-0.5551028397056736,-0.56989990228326,0.036909667104414165,-0.5727129865946711,-0.5344849800252338,-0.7102089498685248,-0.42618327392584515,1.78,1.0,1.1364858116140297,1.0,2.0,1.0,7.0,-0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.5727129865946711 -0.6055112940829799 -0.7127429942960832,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 3.0,-0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.5607294008524368 -0.6171763530784623 -0.638626418803196
