Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.866945505142212,49999999999.50519,-0.5175515062181406,217944947177.1472,-0.5338636588909411,-0.5035832438237411,-0.5780740903476775,1000000000000.0,7.5,7.0,1.676305461424021,6.75,9.0,3.0,10.0,-0.5232748760453114 -0.5400276210610209 -0.5525849565275772 -0.5617190722207688 -0.5780740903476775,3.0 4.0 5.0 7.0 8.0,-0.4656730407324508 -0.455467238453461 -0.4649101684347738 -0.4471610034008134 -0.5114736657909168
2,1.7830150127410889,19999999999.48104,-0.5312069039915923,140000000000.07413,-0.5460048322415112,-0.513619081614221,-0.5780740903476775,1000000000000.0,6.57,7.0,1.9248636315334133,5.0,8.0,3.0,10.0,-0.5510109351670449 -0.5525849565275772 -0.5568869630917946 -0.5617190722207688 -0.5780740903476775,3.0 5.0 6.0 7.0 8.0,-0.5187593563406112 -0.4649101684347738 -0.5003416971489127 -0.4471610034008134 -0.5114736657909168
3,1.7491493225097656,-0.5284931888095267,-0.5284933634248337,0.023012150917830862,-0.5477544090258373,-0.5105269304127401,-0.5832308038688533,-0.4674422565090732,5.89,6.0,2.0827625884867436,4.0,8.0,1.0,10.0,-0.5322700033169319 -0.5512013411655624 -0.5668774813338099 -0.5780740903476775 -0.5832308038688533,1.0 3.0 4.0 8.0 9.0,-0.5466944267454933 -0.4466049343307473 -0.6093978925259943 -0.5114736657909168 -0.4893656880114721
4,1.9197349548339844,-0.5306906447047224,-0.5271777024648443,0.023428660262698554,-0.54958280436539,-0.5154027137874566,-0.578034483970542,-0.48198481791900594,5.61,5.0,2.485538171100979,3.0,8.0,1.0,10.0,-0.5322700033169319 -0.5512013411655624 -0.568525511833044 -0.5780740903476775 -0.5832308038688533,1.0 3.0 4.0 8.0 9.0,-0.5466944267454933 -0.4466049343307473 -0.6067581848452679 -0.5114736657909168 -0.4893656880114721
5,1.8960869312286377,-0.5323187221952841,-0.5332263424922188,0.029887540350223563,-0.551375983687988,-0.5101691132686887,-0.6167931909518926,-0.4765718786385127,5.36,5.0,2.5904439773907484,3.0,8.0,1.0,10.0,-0.6167931909518926,1.0,-0.6338407418814612
6,1.7177224159240723,-0.5388945412028988,-0.5322700033169319,0.03118404746544729,-0.5566180765448288,-0.5184192917447974,-0.6167931909518926,-0.4765718786385127,4.14,4.0,2.5377943179067923,2.0,6.0,1.0,9.0,-0.6167931909518926,1.0,-0.6338407418814612
7,1.5899531841278076,-0.5388156670544462,-0.5323483125886134,0.03329559252556751,-0.5603007664501602,-0.519147602936288,-0.6171978570155701,-0.45740413808821645,3.64,3.0,2.26503863101714,2.0,5.0,1.0,9.0,-0.6167931909518926 -0.6171978570155701,1.0 4.0,-0.6338407418814612 -0.6285720464783873
8,1.5884027481079102,9999999999.459557,-0.5405117924911362,99498743710.71632,-0.5742854258290343,-0.5237570227500341,-0.6172371596477,1000000000000.0,3.52,3.0,2.443276488652072,1.0,5.0,1.0,10.0,-0.6167931909518926 -0.6172371596477,1.0 4.0,-0.6338407418814612 -0.6284804823593635
9,1.589066743850708,19999999999.46385,-0.5406373106310886,140000000000.0766,-0.5789767504629589,-0.5268171988166415,-0.6172674943503582,1000000000000.0,3.02,3.0,1.7998888854593218,1.0,4.0,1.0,9.0,-0.6167931909518926 -0.6172674943503582,1.0 4.0,-0.6338407418814612 -0.6275594016496946
10,1.7359070777893066,-0.5508261588361573,-0.549967354026287,0.03536147450744557,-0.5743450164155799,-0.5322700033169319,-0.6242758790292631,-0.45459999085958114,2.34,2.0,1.4779715829473854,1.0,3.0,1.0,7.0,-0.6167931909518926 -0.6242758790292631,1.0 3.0,-0.6338407418814612 -0.6519266590883617
