DistinctRawFeatures,Alpha,TrainError,TestError,TrainTime,TrainEvalTime,TestEvalTime
1,0.17674597711450143,-0.6399840075888423,-0.6244840007961151,0.03599691390991211,0.0012087821960449219,0.001199483871459961
2,0.08872586425322837,-0.6596487327016024,-0.6445993905105266,0.03599691390991211,0.0012056827545166016,0.00119781494140625
3,0.048505163866674986,-0.6662060612208047,-0.6412427017274143,0.03599691390991211,0.0012407302856445312,0.0012073516845703125
4,0.03240505783821101,-0.670857666690303,-0.640837809839625,0.03599691390991211,0.0012984275817871094,0.0012316703796386719
5,0.025556989694325162,-0.6737662716341116,-0.6416952704933678,0.03599691390991211,0.0013217926025390625,0.0012416839599609375
