DistinctRawFeatures,Alpha,TrainError,TestError,TrainTime,TrainEvalTime,TestEvalTime
1,0.23188326794380706,-0.7299371401473301,-0.7130922548251184,0.03035902976989746,0.0012912750244140625,0.0012366771697998047
2,0.13837103456292577,-0.7322373659275546,-0.7166852634883671,0.03035902976989746,0.001238107681274414,0.0012736320495605469
3,0.12735299182119672,-0.7343092779519499,-0.7210105960637632,0.03035902976989746,0.0012383460998535156,0.001238107681274414
4,0.11586922735146171,-0.7388268965054458,-0.724563125439038,0.03035902976989746,0.0012249946594238281,0.0012240409851074219
5,0.06679268034191845,-0.7650692132156297,-0.7380610801106362,0.03035902976989746,0.0012927055358886719,0.001247406005859375
