Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.010345458984375,-0.5325195123802224,-0.5333899846271287,0.03306311392393768,-0.5577417048559618,-0.5129658126709977,-0.6171218216752516,-0.4180612220299079,6.65,7.0,1.5644487847162014,6.0,8.0,3.0,9.0,-0.5576685837897178 -0.5995494146075045 -0.6014797215333348 -0.6171218216752516,3.0 4.0 6.0 8.0,-0.4455828199391519 -0.49745793987355696 -0.5136068407495876 -0.5234862233587945
2,0.92879319190979,-0.5432377072103054,-0.5481703386138809,0.03065928301397374,-0.565425036127319,-0.5244218058796921,-0.6230914655073857,-0.4401978062572244,5.67,6.0,1.6914786430812538,4.0,7.0,2.0,9.0,-0.5325747539149936 -0.5940335251022727 -0.5995494146075045 -0.6014797215333348 -0.6230914655073857,2.0 3.0 4.0 6.0 7.0,-0.49624691553060285 -0.4481622166997592 -0.49745793987355696 -0.5136068407495876 -0.5258939410495295
3,0.9246103763580322,-0.5527467494720295,-0.5524585361479556,0.02972069377937436,-0.5722961470100046,-0.5334916363013475,-0.6228017887657001,-0.47370700101679525,5.27,5.0,1.8322390673708493,4.0,7.0,1.0,9.0,-0.5505157820555704 -0.5964534849810909 -0.5995494146075045 -0.5995543270387054 -0.6014797215333348 -0.6230914655073857,1.0 3.0 4.0 5.0 6.0 7.0,-0.5856911198895095 -0.4481622166997592 -0.49745793987355696 -0.4905392010116211 -0.5136068407495876 -0.5258939410495295
4,0.9714231491088867,-0.5575690496101965,-0.5597859716339106,0.03445786799492449,-0.5820335113728,-0.5336249179218632,-0.6316773587544106,-0.4781744989568365,5.45,6.0,2.0463381929681126,4.0,7.0,1.0,9.0,-0.5505157820555704 -0.5505157820555704 -0.5505157820555704 -0.5964534849810909 -0.5964534849810909 -0.5995494146075045 -0.5995543270387054 -0.6316773587544106,1.0 1.0 1.0 3.0 3.0 4.0 5.0 6.0,-0.5856911198895095 -0.5856911198895095 -0.5856911198895095 -0.4481622166997592 -0.4481622166997592 -0.49745793987355696 -0.4905392010116211 -0.5258804121248633
5,0.8868656158447266,-0.5607634007601078,-0.553522507522641,0.038957764150208796,-0.5862162867713449,-0.5356409491125323,-0.7125687063509861,-0.47892840914991186,4.73,5.0,2.1533926720410284,3.0,6.0,1.0,9.0,-0.5623294039243345 -0.7125687063509861,1.0 2.0,-0.463642100643712 -0.6942803457806644
6,0.8241770267486572,-0.5604894375643903,-0.5505157820555704,0.04558843259360325,-0.5859046996204087,-0.5336249179218632,-0.7224309948206504,-0.4829764024277915,3.65,3.0,1.9817921182606415,2.0,5.0,1.0,8.0,-0.5623294039243345 -0.7224309948206504,1.0 2.0,-0.463642100643712 -0.7048633418283113
7,0.8652205467224121,-0.5622303644651636,-0.5505157820555704,0.05690220621322324,-0.5883274676929044,-0.5337132595794702,-0.7224309948206504,-0.4506223929539558,3.09,2.0,2.1170498340851593,1.0,4.0,1.0,9.0,-0.5623294039243345 -0.5623294039243345 -0.7224309948206504 -0.7224309948206504,1.0 1.0 2.0 2.0,-0.463642100643712 -0.463642100643712 -0.7048633418283113 -0.7048633418283113
8,0.7610564231872559,-0.5646172892948826,-0.5505157820555704,0.057143306508654824,-0.5862299402625188,-0.5343402342475869,-0.7290719106897706,-0.46800846921615474,2.8,2.0,1.849324200890693,1.0,4.0,1.0,8.0,-0.5623294039243345 -0.5623294039243345 -0.5623294039243345 -0.5623294039243345 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7290719106897706,1.0 1.0 1.0 1.0 2.0 2.0 2.0 3.0,-0.463642100643712 -0.463642100643712 -0.463642100643712 -0.463642100643712 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.6975267348103803
9,0.7473344802856445,-0.5712623427968906,-0.5505157820555704,0.06563231751529933,-0.5625584342942546,-0.5403447466827769,-0.7290719106897706,-0.47390283940604044,2.25,2.0,1.4585952145814822,1.0,3.0,1.0,7.0,-0.5676290739129944 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7290719106897706,1.0 2.0 2.0 2.0 2.0 2.0 3.0,-0.49728316108042997 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.6975267348103803
10,0.7486073970794678,-0.5821279024470294,-0.5505157820555704,0.08054983105294762,-0.63869195229612,-0.5325583396335849,-0.7292973323690077,-0.4542602872651343,2.29,2.0,1.3732807433296368,1.0,3.0,1.0,7.0,-0.7152670464032322 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7292973323690077,1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 3.0,-0.6942623264593776 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.6975267348103803
11,0.7434883117675781,-0.6074310881163139,-0.5623294039243345,0.08913646274020545,-0.7125687063509861,-0.5323744329403097,-0.7292973323690077,-0.46048238984183515,2.4,2.0,1.1489125293076057,2.0,3.0,1.0,6.0,-0.7152670464032322 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7224309948206504 -0.7292973323690077,1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 3.0,-0.6942623264593776 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.7048633418283113 -0.6975267348103803
12,0.7521517276763916,-0.6029502002560228,-0.5623294039243345,0.08760171690618333,-0.7125687063509861,-0.5343493316823891,-0.7292973323690077,-0.47390283940604044,2.26,2.0,1.145600279329575,2.0,3.0,1.0,7.0,-0.7152670464032322 -0.7259119090359684 -0.7292973323690077,1.0 2.0 3.0,-0.6942623264593776 -0.712445465426334 -0.6975267348103803
13,0.7945570945739746,-0.6115254911054346,-0.5623294039243345,0.08936884534782945,-0.7195146940732924,-0.5418029354218636,-0.7324911378461089,-0.4522603973310772,2.42,2.0,1.3429817571359635,1.0,3.0,1.0,7.0,-0.7152670464032322 -0.7324911378461089,1.0 2.0,-0.6942623264593776 -0.7020405393675265
14,0.7492082118988037,-0.6104845289827444,-0.5623294039243345,0.09443238220533204,-0.7224309948206504,-0.5305644912545724,-0.7324911378461089,-0.47390283940604044,2.58,2.0,1.1329607230614838,2.0,3.0,1.0,5.0,-0.7152670464032322 -0.7324911378461089,1.0 2.0,-0.6942623264593776 -0.7020405393675265
15,0.8434474468231201,-0.6186419978014259,-0.5663615723027315,0.09514174479659329,-0.7224309948206504,-0.5324571923984903,-0.7319117843627377,-0.44323308180738047,2.57,2.0,1.3656866404852908,2.0,3.0,1.0,7.0,-0.7175079055960983 -0.7324911378461089,1.0 2.0,-0.6942623264593776 -0.7020405393675265
16,0.8906528949737549,-0.6082326126271959,-0.5623294039243345,0.08654442280941246,-0.7175079055960983,-0.5415100535012191,-0.7292973323690077,-0.4629220534670555,2.19,2.0,1.3542156401400776,1.0,3.0,1.0,8.0,-0.7187489936301318 -0.7324911378461089,1.0 2.0,-0.6278432466521463 -0.7020405393675265
17,0.7730076313018799,-0.613994158707684,-0.5919936052598134,0.09776482874675615,-0.7252896319361877,-0.5213567817172502,-0.7324911378461089,-0.3774964264933535,2.51,2.0,1.3747363383572866,1.0,3.0,1.0,6.0,-0.7187489936301318 -0.7324911378461089 -0.7324911378461089,1.0 2.0 2.0,-0.6278432466521463 -0.7020405393675265 -0.7020405393675265
18,0.8016889095306396,-0.6288319150472484,-0.630038383291402,0.09497155988774675,-0.7260293303400424,-0.5412717099613751,-0.7324911378461089,-0.44257778232468015,2.46,2.0,1.344767637921139,1.0,3.0,1.0,7.0,-0.7187489936301318 -0.7324911378461089 -0.7324911378461089,1.0 2.0 2.0,-0.6278432466521463 -0.7020405393675265 -0.7020405393675265
