Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
11,1.1757245063781738,-0.6290332629819301,-0.650038425427843,0.09611537440517308,-0.7013884812869857,-0.5423911410348037,-0.7658877973088916,-0.3871792291738255,2.45,2.0,1.3955285736952863,1.0,3.0,1.0,7.0,-0.7283414792516075 -0.7658877973088916 -0.7658877973088916 -0.7658877973088916,1.0 2.0 2.0 2.0,-0.7247687204521962 -0.7236375524981554 -0.7236375524981554 -0.7236375524981554
12,1.1715762615203857,-0.6222230123200759,-0.650038425427843,0.09358211326761552,-0.6986337200370418,-0.5314628464727381,-0.7661727678219783,-0.4646412810401944,2.31,2.0,1.3906473312813712,1.0,3.0,1.0,8.0,-0.7283414792516075 -0.7283414792516075 -0.7283414792516075 -0.7661727678219783,1.0 1.0 1.0 2.0,-0.7247687204521962 -0.7247687204521962 -0.7247687204521962 -0.7202049734920768
13,1.114309310913086,-0.613234212783391,-0.650038425427843,0.09327556769917597,-0.650038425427843,-0.5276654174289082,-0.7664628761978206,-0.42800986451862544,2.43,2.0,1.5827507700203467,1.0,3.0,1.0,8.0,-0.7283414792516075 -0.7283414792516075 -0.7283414792516075 -0.7283414792516075 -0.7283414792516075 -0.7664628761978206,1.0 1.0 1.0 1.0 1.0 2.0,-0.7247687204521962 -0.7247687204521962 -0.7247687204521962 -0.7247687204521962 -0.7247687204521962 -0.7161375406926583
14,1.135047197341919,19999999999.390545,-0.650038425427843,140000000000.08707,-0.650038425427843,-0.5316376338110778,-0.7664628761978206,1000000000000.0,1.9,1.0,1.2767145334803705,1.0,3.0,1.0,7.0,-0.7300538812051132 -0.7664628761978206,1.0 2.0,-0.7238574866080839 -0.7161375406926583
15,1.1231372356414795,9999999999.384584,-0.650038425427843,99498743710.72385,-0.7262702572601438,-0.5292304669820815,-0.7664628761978206,1000000000000.0,2.15,2.0,1.2757350822173072,1.0,3.0,1.0,7.0,-0.7300538812051132 -0.7664628761978206 -0.7664628761978206,1.0 2.0 2.0,-0.7238574866080839 -0.7161375406926583 -0.7161375406926583
16,1.176772117614746,-0.6040874327380337,-0.650038425427843,0.08439635721047074,-0.650038425427843,-0.5267157284671883,-0.7664628761978206,-0.40300145423182887,2.2,2.0,1.5491933384829668,1.0,3.0,1.0,8.0,-0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 2.0 2.0 2.0,-0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
17,1.1347267627716064,-0.6172400206256087,-0.650038425427843,0.09763438886353186,-0.6654356204769009,-0.5301436032853896,-0.7664628761978206,-0.3614943291991193,2.17,2.0,1.4768547660484426,1.0,3.0,1.0,7.0,-0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 2.0 2.0 2.0 2.0,-0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
18,1.113044261932373,-0.6363311044579341,-0.650038425427843,0.1044841422963148,-0.7283414792516075,-0.5260975530359248,-0.7664628761978206,-0.36673842752198166,2.08,2.0,1.222129289396175,1.0,2.0,1.0,8.0,-0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 2.0 2.0 2.0 2.0 2.0,-0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
19,1.109285593032837,-0.6316525361401873,-0.650038425427843,0.11130269659929162,-0.7283414792516075,-0.5184314179326917,-0.7664628761978206,-0.4274722635922562,2.42,2.0,1.6073580808270447,1.0,3.0,1.0,8.0,-0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
20,1.1337456703186035,-0.6476698954314706,-0.7283414792516075,0.11228283638636302,-0.7367714100673012,-0.5252853843296292,-0.7664628761978206,-0.3883490335444455,2.16,2.0,1.2142487389328431,1.0,2.0,1.0,6.0,-0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
21,1.1059596538543701,9999999999.3538,-0.7283414792516075,99498743710.72694,-0.7287695797399839,-0.5206358361197823,-0.7664628761978206,1000000000000.0,2.13,2.0,1.2700787377166818,1.0,3.0,1.0,7.0,-0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
22,1.1674449443817139,-0.6513998451098598,-0.7283414792516075,0.10823798673729881,-0.7283414792516075,-0.5291684737666381,-0.7664628761978206,-0.3726190038122168,2.14,2.0,1.2885650934275692,1.0,3.0,1.0,6.0,-0.7300538812051132 -0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.7238574866080839 -0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
23,1.106238842010498,-0.6635794123434606,-0.7283414792516075,0.10892458900854439,-0.765188813819131,-0.5330366347585607,-0.7664628761978206,-0.4057601160755344,2.06,2.0,1.0938007131100254,1.0,3.0,1.0,6.0,-0.7300538812051132 -0.7300538812051132 -0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 1.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.7238574866080839 -0.7238574866080839 -0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
24,1.1254394054412842,-0.6554218580377392,-0.7283414792516075,0.11135160577159121,-0.7662452949159388,-0.5283214974149677,-0.7664628761978206,-0.4642807598203086,2.56,2.0,1.4235167719419397,2.0,3.0,1.0,7.0,-0.7300538812051132 -0.7300538812051132 -0.7300538812051132 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206 -0.7664628761978206,1.0 1.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.7238574866080839 -0.7238574866080839 -0.7238574866080839 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583 -0.7161375406926583
